"Neighborhoods","Periods","CrimeType_Category","total_crime_sum"
"Bos en Lommer","Oct2021","Inappropriateness",6
"Bos en Lommer","Oct2021","Other",19
"Bos en Lommer","Oct2021","Robbery/Theft",126
"Bos en Lommer","Oct2021","Smuggling",2
"Bos en Lommer","Oct2021","Total",213
"Bos en Lommer","Oct2021","Violence",55
"Bos en Lommer","Sept2021","Environment",0
"Bos en Lommer","Sept2021","Inappropriateness",6
"Bos en Lommer","Sept2021","Other",14
"Bos en Lommer","Sept2021","Robbery/Theft",97
"Bos en Lommer","Sept2021","Smuggling",3
"Bos en Lommer","Sept2021","Total",186
"Bos en Lommer","Sept2021","Violence",58
"BU03631000","Apr2021","Environment",1
"BU03631000","Apr2021","Inappropriateness",0
"BU03631000","Apr2021","Other",0
"BU03631000","Apr2021","Robbery/Theft",2
"BU03631000","Apr2021","Smuggling",0
"BU03631000","Apr2021","Total",5
"BU03631000","Apr2021","Violence",2
"BU03631000","Aug2021","Environment",0
"BU03631000","Aug2021","Inappropriateness",0
"BU03631000","Aug2021","Other",0
"BU03631000","Aug2021","Robbery/Theft",11
"BU03631000","Aug2021","Smuggling",0
"BU03631000","Aug2021","Total",12
"BU03631000","Aug2021","Violence",1
"BU03631000","Dec2021","Environment",0
"BU03631000","Dec2021","Inappropriateness",0
"BU03631000","Dec2021","Other",2
"BU03631000","Dec2021","Robbery/Theft",28
"BU03631000","Dec2021","Smuggling",0
"BU03631000","Dec2021","Total",31
"BU03631000","Dec2021","Violence",1
"BU03631000","Feb2021","Environment",0
"BU03631000","Feb2021","Inappropriateness",1
"BU03631000","Feb2021","Other",1
"BU03631000","Feb2021","Robbery/Theft",14
"BU03631000","Feb2021","Smuggling",0
"BU03631000","Feb2021","Total",18
"BU03631000","Feb2021","Violence",2
"BU03631000","Jan2021","Environment",0
"BU03631000","Jan2021","Inappropriateness",1
"BU03631000","Jan2021","Other",0
"BU03631000","Jan2021","Robbery/Theft",9
"BU03631000","Jan2021","Smuggling",0
"BU03631000","Jan2021","Total",11
"BU03631000","Jan2021","Violence",1
"BU03631000","July2021","Environment",0
"BU03631000","July2021","Inappropriateness",0
"BU03631000","July2021","Other",0
"BU03631000","July2021","Robbery/Theft",8
"BU03631000","July2021","Smuggling",1
"BU03631000","July2021","Total",12
"BU03631000","July2021","Violence",3
"BU03631000","June021","Environment",0
"BU03631000","June021","Inappropriateness",1
"BU03631000","June021","Other",1
"BU03631000","June021","Robbery/Theft",7
"BU03631000","June021","Smuggling",0
"BU03631000","June021","Total",12
"BU03631000","June021","Violence",3
