"Neighborhoods","Listing_sum","Average_price","Percentage_home_apt","Percentage_hotel_room","Percentage_private_room","Percentage_shared_room","Periods","CrimeType_Category","total_crime_sum"
"Bos en Lommer",346,136.923387096774,0.838709677419355,0.00403225806451613,0.153225806451613,0.00403225806451613,"Aug2021","Other",22
"Bos en Lommer",346,136.923387096774,0.838709677419355,0.00403225806451613,0.153225806451613,0.00403225806451613,"Aug2021","Robbery/Theft",75
"Bos en Lommer",346,136.923387096774,0.838709677419355,0.00403225806451613,0.153225806451613,0.00403225806451613,"Aug2021","Smuggling",5
"Bos en Lommer",346,136.923387096774,0.838709677419355,0.00403225806451613,0.153225806451613,0.00403225806451613,"Aug2021","Total",163
"Bos en Lommer",346,136.923387096774,0.838709677419355,0.00403225806451613,0.153225806451613,0.00403225806451613,"Aug2021","Violence",52
"Bos en Lommer",346,136.923387096774,0.838709677419355,0.00403225806451613,0.153225806451613,0.00403225806451613,"Dec2021","Environment",1
"Bos en Lommer",346,136.923387096774,0.838709677419355,0.00403225806451613,0.153225806451613,0.00403225806451613,"Dec2021","Inappropriateness",3
"Bos en Lommer",346,136.923387096774,0.838709677419355,0.00403225806451613,0.153225806451613,0.00403225806451613,"Dec2021","Other",20
"Bos en Lommer",346,136.923387096774,0.838709677419355,0.00403225806451613,0.153225806451613,0.00403225806451613,"Dec2021","Robbery/Theft",73
"Bos en Lommer",346,136.923387096774,0.838709677419355,0.00403225806451613,0.153225806451613,0.00403225806451613,"Dec2021","Smuggling",5
"Bos en Lommer",346,136.923387096774,0.838709677419355,0.00403225806451613,0.153225806451613,0.00403225806451613,"Dec2021","Total",160
"Bos en Lommer",346,136.923387096774,0.838709677419355,0.00403225806451613,0.153225806451613,0.00403225806451613,"Dec2021","Violence",51
"Bos en Lommer",346,136.923387096774,0.838709677419355,0.00403225806451613,0.153225806451613,0.00403225806451613,"Feb2021","Environment",0
"Bos en Lommer",346,136.923387096774,0.838709677419355,0.00403225806451613,0.153225806451613,0.00403225806451613,"Feb2021","Inappropriateness",3
"Bos en Lommer",346,136.923387096774,0.838709677419355,0.00403225806451613,0.153225806451613,0.00403225806451613,"Feb2021","Other",38
"Bos en Lommer",346,136.923387096774,0.838709677419355,0.00403225806451613,0.153225806451613,0.00403225806451613,"Feb2021","Robbery/Theft",74
